ID,Age_Group,Gender,Condition,Advice,Deck,Avg_Change
237,Young,Female,None,None,B,90.94895753
238,Young,Male,Bad,A,B,232.0845299
239,Young,Female,Bad,B,B,173.08666
240,Young,Female,None,None,B,120.5238489
241,Young,Male,Bad,A,B,202.9030943
242,Young,Female,Bad,B,B,91.08653255
243,Young,Female,None,None,B,89.59740367
245,Young,Female,None,None,B,202.9030943
246,Young,Female,None,None,B,99.82897983
248,Young,Female,Bad,B,B,51.28180328
249,Young,Female,None,None,B,102.6355992
250,Young,Female,Bad,A,B,115.8279805
251,Young,Female,Bad,B,B,66.41720634
252,Young,Male,None,None,B,100.1877375
253,Young,Male,Bad,A,B,101.9109432
254,Young,Female,Bad,B,B,112.4786696
255,Young,Female,None,None,B,120.2105164
256,Young,Female,Bad,A,B,99.67013009
257,Young,Male,Bad,B,B,297.610886
258,Young,Male,None,None,B,102.1770966
259,Young,Female,Bad,A,B,163.4703975
260,Young,Female,Bad,B,B,94.79624851
261,Young,Male,None,None,B,202.9030943
262,Young,Male,Bad,A,B,32.40627667
263,Young,Male,Bad,B,B,75.69696816
264,Young,Female,None,None,B,95.0303048
265,Young,Female,Bad,A,B,95.67274976
266,Young,Female,Bad,B,B,106.1252929
59,Older,Female,None,None,B,83.59787935
61,Older,Female,Bad,B,B,103.4051443
62,Older,Female,None,None,B,80.92930463
63,Older,Female,Bad,A,B,103.2697844
64,Older,Female,Bad,B,B,101.6941657
65,Older,Male,None,None,B,88.60548039
66,Older,Male,Bad,A,B,99.67724552
67,Older,Female,Bad,B,B,95.94315774
68,Older,Female,None,None,B,86.31059889
71,Older,Male,Bad,B,B,75.77512758
72,Older,Male,None,None,B,99.79735975
75,Older,Female,None,None,B,96.6786883
82,Older,Male,Bad,A,B,111.3499775
84,Older,Male,None,None,B,101.5203306
85,Older,Female,Bad,A,B,116.3493288
86,Older,Female,Bad,B,B,104.0624165
87,Older,Male,None,None,B,139.1518915
88,Older,Male,Bad,A,B,105.4715845
89,Older,Male,Bad,B,B,113.0305612
90,Older,Female,None,None,B,96.92971575
